Given IP address: 130.56.0.0
Given Prefix: 16
Given No of subnets to be created: 1024
New prefix created is: 26.0
Subnet 69 Start : 130.56.17.0.
Subnet 69 End : 130.56.17.63.

Subnet 70 Start : 130.56.17.64.
Subnet 70 End : 130.56.17.127.

Subnet 71 Start : 130.56.17.128.
Subnet 71 End : 130.56.17.191.

Subnet 72 Start : 130.56.17.192.
Subnet 72 End : 130.56.17.255.

Subnet 73 Start : 130.56.18.0.
Subnet 73 End : 130.56.18.63.

Subnet 74 Start : 130.56.18.64.
Subnet 74 End : 130.56.18.127.

Subnet 75 Start : 130.56.18.128.
Subnet 75 End : 130.56.18.191.

Subnet 76 Start : 130.56.18.192.
Subnet 76 End : 130.56.18.255.

Subnet 77 Start : 130.56.19.0.
Subnet 77 End : 130.56.19.63.

Subnet 78 Start : 130.56.19.64.
Subnet 78 End : 130.56.19.127.

Subnet 79 Start : 130.56.19.128.
Subnet 79 End : 130.56.19.191.

Subnet 80 Start : 130.56.19.192.
Subnet 80 End : 130.56.19.255.

Subnet 81 Start : 130.56.20.0.
Subnet 81 End : 130.56.20.63.

Subnet 82 Start : 130.56.20.64.
Subnet 82 End : 130.56.20.127.

Subnet 83 Start : 130.56.20.128.
Subnet 83 End : 130.56.20.191.

Subnet 84 Start : 130.56.20.192.
Subnet 84 End : 130.56.20.255.

Subnet 85 Start : 130.56.21.0.
Subnet 85 End : 130.56.21.63.

Subnet 86 Start : 130.56.21.64.
Subnet 86 End : 130.56.21.127.

Subnet 87 Start : 130.56.21.128.
Subnet 87 End : 130.56.21.191.

Subnet 88 Start : 130.56.21.192.
Subnet 88 End : 130.56.21.255.

Subnet 89 Start : 130.56.22.0.
Subnet 89 End : 130.56.22.63.

Subnet 90 Start : 130.56.22.64.
Subnet 90 End : 130.56.22.127.

Subnet 91 Start : 130.56.22.128.
Subnet 91 End : 130.56.22.191.

Subnet 92 Start : 130.56.22.192.
Subnet 92 End : 130.56.22.255.

Subnet 93 Start : 130.56.23.0.
Subnet 93 End : 130.56.23.63.

Subnet 94 Start : 130.56.23.64.
Subnet 94 End : 130.56.23.127.

Subnet 95 Start : 130.56.23.128.
Subnet 95 End : 130.56.23.191.

Subnet 96 Start : 130.56.23.192.
Subnet 96 End : 130.56.23.255.

Subnet 97 Start : 130.56.24.0.
Subnet 97 End : 130.56.24.63.

Subnet 98 Start : 130.56.24.64.
Subnet 98 End : 130.56.24.127.

Subnet 99 Start : 130.56.24.128.
Subnet 99 End : 130.56.24.191.

Subnet 100 Start : 130.56.24.192.
Subnet 100 End : 130.56.24.255.

Subnet 101 Start : 130.56.25.0.
Subnet 101 End : 130.56.25.63.

Subnet 102 Start : 130.56.25.64.
Subnet 102 End : 130.56.25.127.

Subnet 103 Start : 130.56.25.128.
Subnet 103 End : 130.56.25.191.

Subnet 104 Start : 130.56.25.192.
Subnet 104 End : 130.56.25.255.

Subnet 105 Start : 130.56.26.0.
Subnet 105 End : 130.56.26.63.

Subnet 106 Start : 130.56.26.64.
Subnet 106 End : 130.56.26.127.

Subnet 107 Start : 130.56.26.128.
Subnet 107 End : 130.56.26.191.

Subnet 108 Start : 130.56.26.192.
Subnet 108 End : 130.56.26.255.

Subnet 109 Start : 130.56.27.0.
Subnet 109 End : 130.56.27.63.

Subnet 110 Start : 130.56.27.64.
Subnet 110 End : 130.56.27.127.

Subnet 111 Start : 130.56.27.128.
Subnet 111 End : 130.56.27.191.

Subnet 112 Start : 130.56.27.192.
Subnet 112 End : 130.56.27.255.

Subnet 113 Start : 130.56.28.0.
Subnet 113 End : 130.56.28.63.

Subnet 114 Start : 130.56.28.64.
Subnet 114 End : 130.56.28.127.

Subnet 115 Start : 130.56.28.128.
Subnet 115 End : 130.56.28.191.

Subnet 116 Start : 130.56.28.192.
Subnet 116 End : 130.56.28.255.

Subnet 117 Start : 130.56.29.0.
Subnet 117 End : 130.56.29.63.

Subnet 118 Start : 130.56.29.64.
Subnet 118 End : 130.56.29.127.

Subnet 119 Start : 130.56.29.128.
Subnet 119 End : 130.56.29.191.

Subnet 120 Start : 130.56.29.192.
Subnet 120 End : 130.56.29.255.

Subnet 121 Start : 130.56.30.0.
Subnet 121 End : 130.56.30.63.

Subnet 122 Start : 130.56.30.64.
Subnet 122 End : 130.56.30.127.

Subnet 123 Start : 130.56.30.128.
Subnet 123 End : 130.56.30.191.

Subnet 124 Start : 130.56.30.192.
Subnet 124 End : 130.56.30.255.

Subnet 125 Start : 130.56.31.0.
Subnet 125 End : 130.56.31.63.

Subnet 126 Start : 130.56.31.64.
Subnet 126 End : 130.56.31.127.

Subnet 127 Start : 130.56.31.128.
Subnet 127 End : 130.56.31.191.

Subnet 128 Start : 130.56.31.192.
Subnet 128 End : 130.56.31.255.

Subnet 129 Start : 130.56.32.0.
Subnet 129 End : 130.56.32.63.

Subnet 130 Start : 130.56.32.64.
Subnet 130 End : 130.56.32.127.

Subnet 131 Start : 130.56.32.128.
Subnet 131 End : 130.56.32.191.

Subnet 132 Start : 130.56.32.192.
Subnet 132 End : 130.56.32.255.

Subnet 133 Start : 130.56.33.0.
Subnet 133 End : 130.56.33.63.

Subnet 134 Start : 130.56.33.64.
Subnet 134 End : 130.56.33.127.

Subnet 135 Start : 130.56.33.128.
Subnet 135 End : 130.56.33.191.

Subnet 136 Start : 130.56.33.192.
Subnet 136 End : 130.56.33.255.

Subnet 137 Start : 130.56.34.0.
Subnet 137 End : 130.56.34.63.

Subnet 138 Start : 130.56.34.64.
Subnet 138 End : 130.56.34.127.

Subnet 139 Start : 130.56.34.128.
Subnet 139 End : 130.56.34.191.

Subnet 140 Start : 130.56.34.192.
Subnet 140 End : 130.56.34.255.

Subnet 141 Start : 130.56.35.0.
Subnet 141 End : 130.56.35.63.

Subnet 142 Start : 130.56.35.64.
Subnet 142 End : 130.56.35.127.

Subnet 143 Start : 130.56.35.128.
Subnet 143 End : 130.56.35.191.

Subnet 144 Start : 130.56.35.192.
Subnet 144 End : 130.56.35.255.

Subnet 145 Start : 130.56.36.0.
Subnet 145 End : 130.56.36.63.

Subnet 146 Start : 130.56.36.64.
Subnet 146 End : 130.56.36.127.

Subnet 147 Start : 130.56.36.128.
Subnet 147 End : 130.56.36.191.

Subnet 148 Start : 130.56.36.192.
Subnet 148 End : 130.56.36.255.

Subnet 149 Start : 130.56.37.0.
Subnet 149 End : 130.56.37.63.

Subnet 150 Start : 130.56.37.64.
Subnet 150 End : 130.56.37.127.

Subnet 151 Start : 130.56.37.128.
Subnet 151 End : 130.56.37.191.

Subnet 152 Start : 130.56.37.192.
Subnet 152 End : 130.56.37.255.

Subnet 153 Start : 130.56.38.0.
Subnet 153 End : 130.56.38.63.

Subnet 154 Start : 130.56.38.64.
Subnet 154 End : 130.56.38.127.

Subnet 155 Start : 130.56.38.128.
Subnet 155 End : 130.56.38.191.

Subnet 156 Start : 130.56.38.192.
Subnet 156 End : 130.56.38.255.

Subnet 157 Start : 130.56.39.0.
Subnet 157 End : 130.56.39.63.

Subnet 158 Start : 130.56.39.64.
Subnet 158 End : 130.56.39.127.

Subnet 159 Start : 130.56.39.128.
Subnet 159 End : 130.56.39.191.

Subnet 160 Start : 130.56.39.192.
Subnet 160 End : 130.56.39.255.

Subnet 161 Start : 130.56.40.0.
Subnet 161 End : 130.56.40.63.

Subnet 162 Start : 130.56.40.64.
Subnet 162 End : 130.56.40.127.

Subnet 163 Start : 130.56.40.128.
Subnet 163 End : 130.56.40.191.

Subnet 164 Start : 130.56.40.192.
Subnet 164 End : 130.56.40.255.

Subnet 165 Start : 130.56.41.0.
Subnet 165 End : 130.56.41.63.

Subnet 166 Start : 130.56.41.64.
Subnet 166 End : 130.56.41.127.

Subnet 167 Start : 130.56.41.128.
Subnet 167 End : 130.56.41.191.

Subnet 168 Start : 130.56.41.192.
Subnet 168 End : 130.56.41.255.

Subnet 169 Start : 130.56.42.0.
Subnet 169 End : 130.56.42.63.

Subnet 170 Start : 130.56.42.64.
Subnet 170 End : 130.56.42.127.

Subnet 171 Start : 130.56.42.128.
Subnet 171 End : 130.56.42.191.

Subnet 172 Start : 130.56.42.192.
Subnet 172 End : 130.56.42.255.

Subnet 173 Start : 130.56.43.0.
Subnet 173 End : 130.56.43.63.

Subnet 174 Start : 130.56.43.64.
Subnet 174 End : 130.56.43.127.

Subnet 175 Start : 130.56.43.128.
Subnet 175 End : 130.56.43.191.

Subnet 176 Start : 130.56.43.192.
Subnet 176 End : 130.56.43.255.

Subnet 177 Start : 130.56.44.0.
Subnet 177 End : 130.56.44.63.

Subnet 178 Start : 130.56.44.64.
Subnet 178 End : 130.56.44.127.

Subnet 179 Start : 130.56.44.128.
Subnet 179 End : 130.56.44.191.

Subnet 180 Start : 130.56.44.192.
Subnet 180 End : 130.56.44.255.

Subnet 181 Start : 130.56.45.0.
Subnet 181 End : 130.56.45.63.

Subnet 182 Start : 130.56.45.64.
Subnet 182 End : 130.56.45.127.

Subnet 183 Start : 130.56.45.128.
Subnet 183 End : 130.56.45.191.

Subnet 184 Start : 130.56.45.192.
Subnet 184 End : 130.56.45.255.

Subnet 185 Start : 130.56.46.0.
Subnet 185 End : 130.56.46.63.

Subnet 186 Start : 130.56.46.64.
Subnet 186 End : 130.56.46.127.

Subnet 187 Start : 130.56.46.128.
Subnet 187 End : 130.56.46.191.

Subnet 188 Start : 130.56.46.192.
Subnet 188 End : 130.56.46.255.

Subnet 189 Start : 130.56.47.0.
Subnet 189 End : 130.56.47.63.

Subnet 190 Start : 130.56.47.64.
Subnet 190 End : 130.56.47.127.

Subnet 191 Start : 130.56.47.128.
Subnet 191 End : 130.56.47.191.

Subnet 192 Start : 130.56.47.192.
Subnet 192 End : 130.56.47.255.

Subnet 193 Start : 130.56.48.0.
Subnet 193 End : 130.56.48.63.

Subnet 194 Start : 130.56.48.64.
Subnet 194 End : 130.56.48.127.

Subnet 195 Start : 130.56.48.128.
Subnet 195 End : 130.56.48.191.

Subnet 196 Start : 130.56.48.192.
Subnet 196 End : 130.56.48.255.

Subnet 197 Start : 130.56.49.0.
Subnet 197 End : 130.56.49.63.

Subnet 198 Start : 130.56.49.64.
Subnet 198 End : 130.56.49.127.

Subnet 199 Start : 130.56.49.128.
Subnet 199 End : 130.56.49.191.

Subnet 200 Start : 130.56.49.192.
Subnet 200 End : 130.56.49.255.

Subnet 201 Start : 130.56.50.0.
Subnet 201 End : 130.56.50.63.

Subnet 202 Start : 130.56.50.64.
Subnet 202 End : 130.56.50.127.

Subnet 203 Start : 130.56.50.128.
Subnet 203 End : 130.56.50.191.

Subnet 204 Start : 130.56.50.192.
Subnet 204 End : 130.56.50.255.

Subnet 205 Start : 130.56.51.0.
Subnet 205 End : 130.56.51.63.

Subnet 206 Start : 130.56.51.64.
Subnet 206 End : 130.56.51.127.

Subnet 207 Start : 130.56.51.128.
Subnet 207 End : 130.56.51.191.

Subnet 208 Start : 130.56.51.192.
Subnet 208 End : 130.56.51.255.

Subnet 209 Start : 130.56.52.0.
Subnet 209 End : 130.56.52.63.

Subnet 210 Start : 130.56.52.64.
Subnet 210 End : 130.56.52.127.

Subnet 211 Start : 130.56.52.128.
Subnet 211 End : 130.56.52.191.

Subnet 212 Start : 130.56.52.192.
Subnet 212 End : 130.56.52.255.

Subnet 213 Start : 130.56.53.0.
Subnet 213 End : 130.56.53.63.

Subnet 214 Start : 130.56.53.64.
Subnet 214 End : 130.56.53.127.

Subnet 215 Start : 130.56.53.128.
Subnet 215 End : 130.56.53.191.

Subnet 216 Start : 130.56.53.192.
Subnet 216 End : 130.56.53.255.

Subnet 217 Start : 130.56.54.0.
Subnet 217 End : 130.56.54.63.

Subnet 218 Start : 130.56.54.64.
Subnet 218 End : 130.56.54.127.

Subnet 219 Start : 130.56.54.128.
Subnet 219 End : 130.56.54.191.

Subnet 220 Start : 130.56.54.192.
Subnet 220 End : 130.56.54.255.

Subnet 221 Start : 130.56.55.0.
Subnet 221 End : 130.56.55.63.

Subnet 222 Start : 130.56.55.64.
Subnet 222 End : 130.56.55.127.

Subnet 223 Start : 130.56.55.128.
Subnet 223 End : 130.56.55.191.

Subnet 224 Start : 130.56.55.192.
Subnet 224 End : 130.56.55.255.

Subnet 225 Start : 130.56.56.0.
Subnet 225 End : 130.56.56.63.

Subnet 226 Start : 130.56.56.64.
Subnet 226 End : 130.56.56.127.

Subnet 227 Start : 130.56.56.128.
Subnet 227 End : 130.56.56.191.

Subnet 228 Start : 130.56.56.192.
Subnet 228 End : 130.56.56.255.

Subnet 229 Start : 130.56.57.0.
Subnet 229 End : 130.56.57.63.

Subnet 230 Start : 130.56.57.64.
Subnet 230 End : 130.56.57.127.

Subnet 231 Start : 130.56.57.128.
Subnet 231 End : 130.56.57.191.

Subnet 232 Start : 130.56.57.192.
Subnet 232 End : 130.56.57.255.

Subnet 233 Start : 130.56.58.0.
Subnet 233 End : 130.56.58.63.

Subnet 234 Start : 130.56.58.64.
Subnet 234 End : 130.56.58.127.

Subnet 235 Start : 130.56.58.128.
Subnet 235 End : 130.56.58.191.

Subnet 236 Start : 130.56.58.192.
Subnet 236 End : 130.56.58.255.

Subnet 237 Start : 130.56.59.0.
Subnet 237 End : 130.56.59.63.

Subnet 238 Start : 130.56.59.64.
Subnet 238 End : 130.56.59.127.

Subnet 239 Start : 130.56.59.128.
Subnet 239 End : 130.56.59.191.

Subnet 240 Start : 130.56.59.192.
Subnet 240 End : 130.56.59.255.

Subnet 241 Start : 130.56.60.0.
Subnet 241 End : 130.56.60.63.

Subnet 242 Start : 130.56.60.64.
Subnet 242 End : 130.56.60.127.

Subnet 243 Start : 130.56.60.128.
Subnet 243 End : 130.56.60.191.

Subnet 244 Start : 130.56.60.192.
Subnet 244 End : 130.56.60.255.

Subnet 245 Start : 130.56.61.0.
Subnet 245 End : 130.56.61.63.

Subnet 246 Start : 130.56.61.64.
Subnet 246 End : 130.56.61.127.

Subnet 247 Start : 130.56.61.128.
Subnet 247 End : 130.56.61.191.

Subnet 248 Start : 130.56.61.192.
Subnet 248 End : 130.56.61.255.

Subnet 249 Start : 130.56.62.0.
Subnet 249 End : 130.56.62.63.

Subnet 250 Start : 130.56.62.64.
Subnet 250 End : 130.56.62.127.

Subnet 251 Start : 130.56.62.128.
Subnet 251 End : 130.56.62.191.

Subnet 252 Start : 130.56.62.192.
Subnet 252 End : 130.56.62.255.

Subnet 253 Start : 130.56.63.0.
Subnet 253 End : 130.56.63.63.

Subnet 254 Start : 130.56.63.64.
Subnet 254 End : 130.56.63.127.

Subnet 255 Start : 130.56.63.128.
Subnet 255 End : 130.56.63.191.

Subnet 256 Start : 130.56.63.192.
Subnet 256 End : 130.56.63.255.

Subnet 257 Start : 130.56.64.0.
Subnet 257 End : 130.56.64.63.

Subnet 258 Start : 130.56.64.64.
Subnet 258 End : 130.56.64.127.

Subnet 259 Start : 130.56.64.128.
Subnet 259 End : 130.56.64.191.

Subnet 260 Start : 130.56.64.192.
Subnet 260 End : 130.56.64.255.

Subnet 261 Start : 130.56.65.0.
Subnet 261 End : 130.56.65.63.

Subnet 262 Start : 130.56.65.64.
Subnet 262 End : 130.56.65.127.

Subnet 263 Start : 130.56.65.128.
Subnet 263 End : 130.56.65.191.

Subnet 264 Start : 130.56.65.192.
Subnet 264 End : 130.56.65.255.

Subnet 265 Start : 130.56.66.0.
Subnet 265 End : 130.56.66.63.

Subnet 266 Start : 130.56.66.64.
Subnet 266 End : 130.56.66.127.

Subnet 267 Start : 130.56.66.128.
Subnet 267 End : 130.56.66.191.

Subnet 268 Start : 130.56.66.192.
Subnet 268 End : 130.56.66.255.

Subnet 269 Start : 130.56.67.0.
Subnet 269 End : 130.56.67.63.

Subnet 270 Start : 130.56.67.64.
Subnet 270 End : 130.56.67.127.

Subnet 271 Start : 130.56.67.128.
Subnet 271 End : 130.56.67.191.

Subnet 272 Start : 130.56.67.192.
Subnet 272 End : 130.56.67.255.

Subnet 273 Start : 130.56.68.0.
Subnet 273 End : 130.56.68.63.

Subnet 274 Start : 130.56.68.64.
Subnet 274 End : 130.56.68.127.

Subnet 275 Start : 130.56.68.128.
Subnet 275 End : 130.56.68.191.

Subnet 276 Start : 130.56.68.192.
Subnet 276 End : 130.56.68.255.

Subnet 277 Start : 130.56.69.0.
Subnet 277 End : 130.56.69.63.

Subnet 278 Start : 130.56.69.64.
Subnet 278 End : 130.56.69.127.

Subnet 279 Start : 130.56.69.128.
Subnet 279 End : 130.56.69.191.

Subnet 280 Start : 130.56.69.192.
Subnet 280 End : 130.56.69.255.

Subnet 281 Start : 130.56.70.0.
Subnet 281 End : 130.56.70.63.

Subnet 282 Start : 130.56.70.64.
Subnet 282 End : 130.56.70.127.

Subnet 283 Start : 130.56.70.128.
Subnet 283 End : 130.56.70.191.

Subnet 284 Start : 130.56.70.192.
Subnet 284 End : 130.56.70.255.

Subnet 285 Start : 130.56.71.0.
Subnet 285 End : 130.56.71.63.

Subnet 286 Start : 130.56.71.64.
Subnet 286 End : 130.56.71.127.

Subnet 287 Start : 130.56.71.128.
Subnet 287 End : 130.56.71.191.

Subnet 288 Start : 130.56.71.192.
Subnet 288 End : 130.56.71.255.

Subnet 289 Start : 130.56.72.0.
Subnet 289 End : 130.56.72.63.

Subnet 290 Start : 130.56.72.64.
Subnet 290 End : 130.56.72.127.

Subnet 291 Start : 130.56.72.128.
Subnet 291 End : 130.56.72.191.

Subnet 292 Start : 130.56.72.192.
Subnet 292 End : 130.56.72.255.

Subnet 293 Start : 130.56.73.0.
Subnet 293 End : 130.56.73.63.

Subnet 294 Start : 130.56.73.64.
Subnet 294 End : 130.56.73.127.

Subnet 295 Start : 130.56.73.128.
Subnet 295 End : 130.56.73.191.

Subnet 296 Start : 130.56.73.192.
Subnet 296 End : 130.56.73.255.

Subnet 297 Start : 130.56.74.0.
Subnet 297 End : 130.56.74.63.

Subnet 298 Start : 130.56.74.64.
Subnet 298 End : 130.56.74.127.

Subnet 299 Start : 130.56.74.128.
Subnet 299 End : 130.56.74.191.

Subnet 300 Start : 130.56.74.192.
Subnet 300 End : 130.56.74.255.

Subnet 301 Start : 130.56.75.0.
Subnet 301 End : 130.56.75.63.

Subnet 302 Start : 130.56.75.64.
Subnet 302 End : 130.56.75.127.

Subnet 303 Start : 130.56.75.128.
Subnet 303 End : 130.56.75.191.

Subnet 304 Start : 130.56.75.192.
Subnet 304 End : 130.56.75.255.

Subnet 305 Start : 130.56.76.0.
Subnet 305 End : 130.56.76.63.

Subnet 306 Start : 130.56.76.64.
Subnet 306 End : 130.56.76.127.

Subnet 307 Start : 130.56.76.128.
Subnet 307 End : 130.56.76.191.

Subnet 308 Start : 130.56.76.192.
Subnet 308 End : 130.56.76.255.

Subnet 309 Start : 130.56.77.0.
Subnet 309 End : 130.56.77.63.

Subnet 310 Start : 130.56.77.64.
Subnet 310 End : 130.56.77.127.

Subnet 311 Start : 130.56.77.128.
Subnet 311 End : 130.56.77.191.

Subnet 312 Start : 130.56.77.192.
Subnet 312 End : 130.56.77.255.

Subnet 313 Start : 130.56.78.0.
Subnet 313 End : 130.56.78.63.

Subnet 314 Start : 130.56.78.64.
Subnet 314 End : 130.56.78.127.

Subnet 315 Start : 130.56.78.128.
Subnet 315 End : 130.56.78.191.

Subnet 316 Start : 130.56.78.192.
Subnet 316 End : 130.56.78.255.

Subnet 317 Start : 130.56.79.0.
Subnet 317 End : 130.56.79.63.

Subnet 318 Start : 130.56.79.64.
Subnet 318 End : 130.56.79.127.

Subnet 319 Start : 130.56.79.128.
Subnet 319 End : 130.56.79.191.

Subnet 320 Start : 130.56.79.192.
Subnet 320 End : 130.56.79.255.

Subnet 321 Start : 130.56.80.0.
Subnet 321 End : 130.56.80.63.

Subnet 322 Start : 130.56.80.64.
Subnet 322 End : 130.56.80.127.

Subnet 323 Start : 130.56.80.128.
Subnet 323 End : 130.56.80.191.

Subnet 324 Start : 130.56.80.192.
Subnet 324 End : 130.56.80.255.

Subnet 325 Start : 130.56.81.0.
Subnet 325 End : 130.56.81.63.

Subnet 326 Start : 130.56.81.64.
Subnet 326 End : 130.56.81.127.

Subnet 327 Start : 130.56.81.128.
Subnet 327 End : 130.56.81.191.

Subnet 328 Start : 130.56.81.192.
Subnet 328 End : 130.56.81.255.

Subnet 329 Start : 130.56.82.0.
Subnet 329 End : 130.56.82.63.

Subnet 330 Start : 130.56.82.64.
Subnet 330 End : 130.56.82.127.

Subnet 331 Start : 130.56.82.128.
Subnet 331 End : 130.56.82.191.

Subnet 332 Start : 130.56.82.192.
Subnet 332 End : 130.56.82.255.

Subnet 333 Start : 130.56.83.0.
Subnet 333 End : 130.56.83.63.

Subnet 334 Start : 130.56.83.64.
Subnet 334 End : 130.56.83.127.

Subnet 335 Start : 130.56.83.128.
Subnet 335 End : 130.56.83.191.

Subnet 336 Start : 130.56.83.192.
Subnet 336 End : 130.56.83.255.

Subnet 337 Start : 130.56.84.0.
Subnet 337 End : 130.56.84.63.

Subnet 338 Start : 130.56.84.64.
Subnet 338 End : 130.56.84.127.

Subnet 339 Start : 130.56.84.128.
Subnet 339 End : 130.56.84.191.

Subnet 340 Start : 130.56.84.192.
Subnet 340 End : 130.56.84.255.

Subnet 341 Start : 130.56.85.0.
Subnet 341 End : 130.56.85.63.

Subnet 342 Start : 130.56.85.64.
Subnet 342 End : 130.56.85.127.

Subnet 343 Start : 130.56.85.128.
Subnet 343 End : 130.56.85.191.

Subnet 344 Start : 130.56.85.192.
Subnet 344 End : 130.56.85.255.

Subnet 345 Start : 130.56.86.0.
Subnet 345 End : 130.56.86.63.

Subnet 346 Start : 130.56.86.64.
Subnet 346 End : 130.56.86.127.

Subnet 347 Start : 130.56.86.128.
Subnet 347 End : 130.56.86.191.

